Id,Label,timeset,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles
0,0,,80,4,0.407423,0.455289,132573.303563,0.009494,30
1,1,,56,5,0.362482,0.404638,65062.48681,0.004545,7
2,2,,33,5,0.354633,0.388739,34692.858281,0.020833,11
3,3,,72,5,0.380427,0.428212,94297.924473,0.006651,17
5,5,,24,5,0.325938,0.355122,18618.051279,0.014493,4
6,6,,17,5,0.328727,0.355606,17112.62137,0.022059,3
7,7,,14,5,0.310924,0.334318,11286.565882,0,0
8,8,,16,5,0.311118,0.335385,11804.64314,0.016667,2
9,9,,52,5,0.3658,0.406557,67858.164971,0.00905,12
10,10,,27,5,0.321739,0.350484,23127.444278,0.002849,1
12,12,,35,5,0.339565,0.37364,35199.098026,0.010084,6
13,13,,9,5,0.321636,0.344144,6418.405774,0.027778,1
16,16,,39,5,0.347116,0.3833,42575.447493,0.006748,5
17,17,,12,5,0.319885,0.344044,11301.788553,0.030303,2
19,19,,18,5,0.320603,0.348031,10428.92479,0.039216,6
21,21,,5,5,0.305879,0.325359,2560.389595,0.1,1
27,27,,7,5,0.306348,0.326944,4259.579639,0.047619,1
54,54,,5,5,0.298476,0.316884,2510.053354,0,0
55,55,,5,5,0.296176,0.313597,1777.295475,0,0
70,70,,5,5,0.295126,0.31358,1842.253035,0,0
75,75,,8,5,0.309097,0.328729,3820.556177,0.035714,1
82,82,,8,5,0.302544,0.322923,6035.618845,0,0
89,89,,2,5,0.29741,0.313814,0,1,1
94,94,,6,5,0.298209,0.315966,4050.221797,0.066667,1
95,95,,7,5,0.303279,0.32289,3938.784911,0.047619,1
108,108,,4,5,0.307953,0.326026,1320.151633,0.166667,1
114,114,,4,5,0.298298,0.315899,1485.057589,0.166667,1
118,118,,9,5,0.300542,0.320554,6321.373228,0.027778,1
134,134,,8,5,0.297587,0.317217,4495.273262,0,0
141,141,,5,5,0.297587,0.315766,2869.436504,0,0
142,142,,6,5,0.292191,0.309877,2824.665732,0,0
162,162,,8,5,0.29982,0.318669,3969.787246,0,0
191,191,,8,5,0.309097,0.329263,4751.559133,0.071429,2
192,192,,3,5,0.3,0.317251,610.538295,0.333333,1
198,198,,6,5,0.297145,0.315866,3733.051244,0,0
201,201,,7,5,0.307858,0.328178,3033.70592,0.047619,1
203,203,,3,5,0.301904,0.318902,1286.289668,0,0
214,214,,2,5,0.292105,0.307591,435.67815,0,0
227,227,,3,5,0.29322,0.30971,525.717817,0.333333,1
240,240,,6,5,0.308714,0.327945,2138.373356,0.066667,1
242,242,,2,5,0.293048,0.309042,0,1,1
244,244,,3,5,0.297676,0.314181,1856.776411,0,0
246,246,,4,5,0.296439,0.31383,2012.745536,0,0
251,251,,12,5,0.301357,0.321822,7058.022729,0,0
290,290,,4,5,0.295737,0.312346,1266.027199,0,0
298,298,,2,5,0.29279,0.308775,743.274826,0,0
307,307,,4,5,0.291935,0.308692,1670.915049,0,0
320,320,,3,5,0.291849,0.307858,1088.903626,0,0
356,356,,3,5,0.302361,0.319503,1512.39427,0,0
358,358,,2,5,0.291764,0.307257,213.245735,0,0
376,376,,6,5,0.296088,0.313413,2492.363523,0,0
377,377,,4,5,0.296088,0.312913,2186.542297,0,0
401,401,,3,5,0.297587,0.314848,1821.32748,0,0
405,405,,5,5,0.29279,0.309893,4040.077195,0,0
428,428,,2,5,0.291849,0.307541,429.338195,0,0
457,457,,2,5,0.290323,0.305639,210.877096,0,0
461,461,,3,5,0.29443,0.310878,1632.451809,0,0
536,536,,4,5,0.291339,0.307658,1165.858248,0.166667,1
563,563,,6,5,0.293565,0.311345,3734.551802,0,0
574,574,,2,5,0.291509,0.306924,95.526513,0,0
585,585,,3,5,0.293651,0.309776,545.033239,0,0
595,595,,2,5,0.292447,0.307608,85.339563,0,0
613,613,,3,5,0.290407,0.306256,386.913067,0,0
655,655,,2,5,0.291509,0.306924,95.526513,0,0
670,670,,2,5,0.295475,0.311778,308.69493,0,0
689,689,,2,5,0.291764,0.307257,213.245735,0,0
715,715,,2,5,0.289985,0.305339,0,1,1
748,748,,4,5,0.300994,0.318685,1621.460102,0.166667,1
752,752,,2,5,0.291169,0.306657,458.606946,0,0
807,807,,2,5,0.290407,0.305889,310.977252,0,0
809,809,,2,5,0.290407,0.305689,205.814361,0,0
816,816,,2,5,0.290238,0.305622,275.399407,0,0
842,842,,2,5,0.291169,0.306456,456.244602,0,0
856,856,,2,5,0.291849,0.30709,370.478852,0,0
860,860,,2,5,0.293048,0.309042,0,1,1
918,918,,2,5,0.290914,0.30629,232.95548,0,0
939,939,,2,5,0.290745,0.306173,542.016076,0,0
952,952,,2,5,0.293048,0.308742,408.771204,0,0
969,969,,2,5,0.290914,0.306206,412.555153,0,0
974,974,,2,5,0.29741,0.313814,0,1,1
982,982,,2,5,0.289817,0.305205,105.112811,0,0
11,11,,36,5,0.34271,0.37621,36171.450136,0.006349,4
15,15,,3,5,0.299371,0.318001,653.786565,0.333333,1
18,18,,5,5,0.301448,0.321388,2850.124957,0,0
26,26,,5,6,0.277809,0.295562,2419.90918,0,0
34,34,,3,6,0.271689,0.287988,1120.83628,0,0
40,40,,8,6,0.282044,0.302219,4868.744361,0,0
44,44,,2,6,0.273849,0.289356,292.100293,0,0
51,51,,4,6,0.275358,0.292342,1429.959603,0,0
62,62,,12,5,0.283565,0.306256,7224.960788,0,0
66,66,,8,6,0.284615,0.30382,3905.927773,0,0
72,72,,4,5,0.30009,0.319453,2909.510541,0,0
86,86,,7,6,0.288645,0.308675,3836.762755,0,0
115,115,,2,6,0.266756,0.281481,153.604519,0,0
124,124,,7,5,0.284049,0.302202,2832.257453,0,0
151,151,,4,6,0.275055,0.291141,1242.148544,0,0
165,165,,5,5,0.274904,0.292392,2630.764854,0,0
185,185,,4,5,0.276808,0.293043,1415.609592,0,0
193,193,,9,6,0.273175,0.29331,4132.020365,0,0
206,206,,5,5,0.296527,0.315132,2934.32566,0,0
224,224,,5,6,0.286657,0.305138,2870.608684,0.1,1
237,237,,6,6,0.281885,0.299967,3036.265867,0,0
243,243,,3,6,0.274149,0.291508,1262.74634,0,0
247,247,,2,6,0.274526,0.289706,445.121042,0,0
265,265,,4,6,0.276119,0.294278,2039.754595,0,0
270,270,,3,6,0.275207,0.290724,388.219627,0,0
282,282,,2,6,0.269417,0.284551,211.428064,0,0
304,304,,2,6,0.268188,0.283183,229.049943,0,0
323,323,,2,6,0.269272,0.284418,155.742888,0,0
339,339,,6,6,0.271763,0.289122,1407.96143,0.066667,1
345,345,,3,6,0.271026,0.287487,851.161075,0,0
349,349,,5,6,0.271689,0.288972,1455.387406,0,0
360,360,,2,5,0.298833,0.31695,393.887339,0,0
361,361,,2,6,0.270365,0.285085,217.263633,0,0
363,363,,3,6,0.270146,0.285636,251.478075,0.333333,1
390,390,,2,6,0.267828,0.282916,464.120708,0,0
394,394,,4,6,0.276349,0.292926,1627.346504,0,0
415,415,,3,5,0.272653,0.287838,862.827225,0,0
425,425,,3,6,0.274601,0.291208,636.023863,0,0
438,438,,2,5,0.292704,0.309776,390.19717,0,0
460,460,,2,6,0.277809,0.294011,846.504469,0,0
494,494,,5,6,0.270732,0.287521,2661.463531,0,0
564,564,,2,6,0.276808,0.293293,452.463437,0,0
672,672,,2,6,0.277038,0.293327,306.373116,0,0
