Dataset,Classifier,KFoldIndex,FitTime,PredictionTime,Precision,F1Score,RocAucScore
dfNum,DecTree MSF=100,0,1.075743100000068,0.01156720000005862,0.9477646414700498,0.9620712360081001,0.9900195489414951
dfNum,DecTree MSF=100,1,1.101148299999977,0.011524499999950422,0.9456943897890396,0.9603774998127481,0.9889701701741344
dfNum,DecTree MSF=100,2,1.0494767000000138,0.011698300000034578,0.9485858983352439,0.962761936627136,0.989703899545782
dfNumNorm,DecTree MSF=100,0,1.1145212999999785,0.010795899999948233,0.9468578370147313,0.9613633536509516,0.9891669790325888
dfNumNorm,DecTree MSF=100,1,1.031433100000072,0.011640599999964252,0.9468407274967064,0.9613167494615222,0.9895256520743729
dfNumNorm,DecTree MSF=100,2,1.050808599999982,0.011820000000057007,0.9461050182216367,0.9608792846497765,0.9895576513908249
dfNumNormAll,DecTree MSF=100,0,1.0593322999999373,0.011243299999932788,0.9470973702670796,0.9616310525401434,0.9889716225308766
dfNumNormAll,DecTree MSF=100,1,1.103977900000018,0.012318499999992127,0.9479528461683234,0.9621113989637305,0.9899491469089559
dfNumNormAll,DecTree MSF=100,2,1.0809229000000187,0.010902199999918594,0.9468578370147313,0.9612118487436935,0.9893091024324825
dfNumOnly,DecTree MSF=100,0,1.0690720000000056,0.01043019999997341,0.9468578370147313,0.9613267923400654,0.9893169538255229
dfNumOnly,DecTree MSF=100,1,1.0201483999999255,0.01159979999999905,0.9466525227984328,0.9613189757840411,0.9894034166280058
dfNumOnly,DecTree MSF=100,2,1.114012700000103,0.010696299999949588,0.9470289321949801,0.9613714627938316,0.9891372729518776
dfNumOnly10Feat,DecTree MSF=100,0,0.8999267000000373,0.006313200000022334,0.9365750166817801,0.9545013807916539,0.9824286992737202
dfNumOnly10Feat,DecTree MSF=100,1,0.8665389999999888,0.005903799999941839,0.9357708693346108,0.9539137693969749,0.9823503452785659
dfNumOnly10Feat,DecTree MSF=100,2,0.8522863000000598,0.006024799999977404,0.9351035981316407,0.9535325321278498,0.9816127609318892
dfNumOnly20Feat,DecTree MSF=100,0,2.0937586999999667,0.008070999999972628,0.9400140298047804,0.9566121327624186,0.9846561521432582
dfNumOnly20Feat,DecTree MSF=100,1,1.8558114999999589,0.0076674999999113425,0.9390045682413126,0.9558770746438605,0.9841975023747175
dfNumOnly20Feat,DecTree MSF=100,2,2.1489608999999064,0.008556899999916823,0.9379608876417951,0.9554183982098507,0.9831888963959123
