Dataset,Classifier,KFoldIndex,FitTime,PredictionTime,Precision,F1Score,RocAucScore
dfNum,"MLPC_tanh_(5,5)",0,5.73911320000002,0.012942800000018906,0.938114873304019,0.9544922685924938,0.9855275003745633
dfNum,"MLPC_tanh_(5,5)",1,14.195106699999997,0.01057089999994787,0.9360959501770835,0.9546607751975624,0.9867990810927835
dfNum,"MLPC_tanh_(5,5)",2,10.313618700000006,0.012569199999916236,0.9365065786096806,0.9553875190844283,0.985927031804197
dfNumNorm,"MLPC_tanh_(5,5)",0,6.30587659999992,0.01302199999986442,0.9371054117405513,0.9531958237840591,0.9863415167999607
dfNumNorm,"MLPC_tanh_(5,5)",1,6.352732199999991,0.010516300000062984,0.9346587506629939,0.9543263768462596,0.9844980768923884
dfNumNorm,"MLPC_tanh_(5,5)",2,13.32038149999994,0.010588599999891812,0.9347785172891679,0.9517174992400446,0.9853898409520252
dfNumNormAll,"MLPC_tanh_(5,5)",0,15.123451400000022,0.011176499999919542,0.9357024312625113,0.9527343160436686,0.9854684502985407
dfNumNormAll,"MLPC_tanh_(5,5)",1,12.209073100000069,0.011844500000051994,0.9391414443855116,0.9559521008507422,0.9863804152970841
dfNumNormAll,"MLPC_tanh_(5,5)",2,12.150475899999947,0.014718200000061188,0.9394836347460092,0.9559937791601867,0.9855269595379996
dfNumOnly,"MLPC_tanh_(5,5)",0,17.834378300000026,0.01362909999988915,0.9347956268071929,0.954196363111907,0.9857715787684391
dfNumOnly,"MLPC_tanh_(5,5)",1,8.926209100000051,0.018890300000066418,0.9362328263212826,0.9551282823053492,0.9850614258265701
dfNumOnly,"MLPC_tanh_(5,5)",2,28.041804700000057,0.011245600000165723,0.9400311393228052,0.9563071092883232,0.9871221079833987
dfNumOnly10Feat,"MLPC_tanh_(5,5)",0,13.492485200000147,0.006778599999961443,0.9298851951340531,0.9511141861907716,0.9798894365104496
dfNumOnly10Feat,"MLPC_tanh_(5,5)",1,5.237496400000055,0.009552099999837083,0.9357366502985611,0.9547295342782759,0.9715122300439408
dfNumOnly10Feat,"MLPC_tanh_(5,5)",2,14.618053500000087,0.006777400000146372,0.934350779338546,0.9536801187874984,0.9806408871944852
dfNumOnly20Feat,"MLPC_tanh_(5,5)",0,9.880512200000112,0.00823139999988598,0.9344192174106456,0.9541819572779324,0.9862714293969648
dfNumOnly20Feat,"MLPC_tanh_(5,5)",1,14.281829399999879,0.02054950000001554,0.9360959501770835,0.954402842039725,0.9860480192616405
dfNumOnly20Feat,"MLPC_tanh_(5,5)",2,12.789633200000026,0.011734799999885581,0.9353773504200387,0.9546333553540328,0.9851679485646807
dfNumOnly10Feat,"MLPC_relu_(5,5)",0,9.29739769999992,0.010418900000104259,0.9353089123479391,0.9545481866156972,0.9798417040547962
dfNumOnly10Feat,"MLPC_relu_(5,5)",1,9.61740430000009,0.009482800000114366,0.9342823412664465,0.9539022838832015,0.968492686609204
dfNumOnly10Feat,"MLPC_relu_(5,5)",2,7.80891900000006,0.008499199999960183,0.927797833935018,0.9496023120835025,0.9678473372745705
dfNumOnly20Feat,"MLPC_relu_(5,5)",0,15.769910400000072,0.012908800000104748,0.9380464352319196,0.954826153673416,0.985659842732821
dfNumOnly20Feat,"MLPC_relu_(5,5)",1,6.485524800000121,0.014364499999828695,0.9364894690916556,0.9552609376883211,0.9852756615822084
dfNumOnly20Feat,"MLPC_relu_(5,5)",2,14.585540600000058,0.02367879999997058,0.9361472787311581,0.9548435495970767,0.981814741440829
