,0
0,0
1,1
2,1
3,0
4,0
5,1
6,1
7,1
8,0
9,0
10,1
11,1
12,0
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,1
21,1
22,1
23,0
24,1
25,1
26,0
27,1
28,0
29,1
30,1
31,1
32,1
33,1
34,0
35,0
36,1
37,1
38,1
39,1
40,1
41,0
42,1
43,1
44,0
45,1
46,0
47,1
48,0
49,0
50,1
51,1
52,1
53,1
54,1
55,0
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,0
75,0
76,1
77,1
78,0
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,0
95,0
96,0
97,0
98,0
99,1
100,1
101,0
102,1
103,1
104,1
105,1
106,0
107,0
108,1
109,1
110,1
111,1
112,0
113,0
114,1
115,0
116,1
117,1
118,0
119,0
120,1
121,1
122,0
123,0
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,0
134,0
135,1
136,1
137,1
138,0
139,1
140,1
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,0
149,1
150,1
151,1
152,1
153,1
154,0
155,1
156,1
157,0
158,1
159,0
160,1
161,1
162,0
163,1
164,0
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,0
185,1
186,1
187,0
188,1
189,0
190,1
191,0
192,0
193,1
194,0
195,1
196,1
197,0
198,1
199,1
200,0
201,1
202,0
203,1
204,1
205,1
206,0
207,1
208,0
209,1
210,1
211,0
212,1
213,1
214,0
215,1
216,0
217,0
218,1
219,0
220,1
221,1
222,0
223,0
224,1
225,1
226,0
227,1
228,1
229,0
230,1
231,1
232,1
233,1
234,1
235,1
236,0
237,1
238,0
239,1
240,0
241,1
242,0
243,1
244,0
245,0
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,0
255,1
256,1
257,1
258,1
259,0
260,1
261,1
262,1
263,0
264,1
265,1
266,0
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,0
276,1
277,0
278,0
279,1
280,1
281,1
282,0
283,1
284,0
285,1
286,1
287,1
288,1
289,1
290,0
291,1
292,0
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,0
301,1
302,1
303,1
304,1
305,1
306,0
307,0
308,1
309,1
310,1
311,1
312,0
313,1
314,0
315,1
316,0
317,1
318,1
319,1
320,1
321,0
322,1
323,1
324,1
325,1
326,1
327,1
328,0
329,1
330,1
331,0
332,1
333,1
334,1
335,1
336,1
337,0
338,1
339,0
340,1
341,0
342,1
343,0
344,1
345,1
346,1
347,1
348,0
349,0
350,1
351,1
352,1
353,1
354,1
355,0
356,1
357,1
358,0
359,1
360,0
361,1
362,1
363,1
364,1
365,1
366,0
367,0
368,1
369,0
370,1
371,1
372,1
373,1
374,0
375,0
376,1
377,0
378,0
379,1
380,1
381,0
382,0
383,1
384,0
385,1
386,1
387,0
388,1
389,1
390,1
391,1
392,1
393,0
394,1
395,0
396,1
397,1
398,0
399,1
400,1
401,0
402,1
403,1
404,1
405,0
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,0
414,1
415,1
416,0
417,1
418,1
419,0
420,0
421,1
422,0
423,1
424,0
425,0
426,1
427,0
428,0
429,1
430,0
431,1
432,1
433,1
434,0
435,1
436,0
437,1
438,0
439,0
440,0
441,0
442,0
443,1
444,0
445,1
446,1
447,1
448,0
449,0
450,1
451,0
452,1
453,1
454,1
455,1
456,0
457,1
458,1
459,0
460,0
461,1
462,1
463,1
464,0
465,0
466,1
467,1
468,1
469,1
470,0
471,1
472,0
473,1
474,0
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,0
486,1
487,1
488,1
489,0
490,0
491,0
492,1
493,1
494,0
495,1
496,1
497,0
498,1
499,0
500,1
501,1
502,0
503,0
504,1
505,1
506,1
507,1
508,1
509,0
510,1
511,0
512,1
513,1
514,1
515,0
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,0
524,1
525,1
526,1
527,1
528,1
529,0
530,0
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,0
540,1
541,1
542,1
543,1
544,1
545,0
546,1
547,1
548,1
549,0
550,1
551,1
552,1
553,0
554,0
555,0
556,1
557,0
558,1
559,0
560,0
561,0
562,1
563,1
564,1
565,0
566,1
567,1
568,1
569,1
570,1
571,1
572,0
573,0
574,1
575,0
576,1
577,1
578,0
579,1
580,1
581,1
582,1
583,1
584,0
585,1
586,0
587,1
588,0
589,1
590,1
591,1
592,1
593,1
594,0
595,1
596,1
597,1
598,1
599,0
600,0
601,0
602,1
603,1
604,1
605,0
606,0
607,1
608,0
609,1
610,1
611,0
612,1
613,1
614,1
615,1
616,1
617,1
618,0
619,1
620,0
621,0
622,1
623,1
624,1
625,1
626,1
627,1
628,0
629,1
630,0
631,1
632,1
633,0
634,1
635,0
636,1
637,1
638,1
639,0
640,0
641,0
642,0
643,1
644,1
645,1
646,1
647,0
648,1
649,1
650,0
651,1
652,1
653,1
654,1
655,1
656,1
657,0
658,1
659,1
660,0
661,1
662,1
663,0
664,1
665,0
666,1
667,0
668,1
669,1
670,1
671,1
672,1
673,1
674,0
675,0
676,0
677,0
678,0
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,0
688,0
689,0
690,1
691,1
692,1
693,0
694,1
695,1
696,1
697,1
698,0
699,1
700,0
701,1
702,1
703,1
704,1
705,0
706,0
707,0
708,1
709,1
710,1
711,1
712,1
713,1
714,0
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,0
728,1
729,1
730,1
731,1
732,1
733,1
734,0
735,1
736,1
737,1
738,0
739,1
740,0
741,1
742,1
743,0
744,1
745,1
746,0
747,0
748,1
749,0
750,1
751,1
752,1
753,0
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,0
763,0
764,1
765,0
766,1
767,0
768,0
769,0
770,0
771,1
772,1
773,1
774,1
775,1
776,0
777,0
778,1
779,0
780,1
781,1
782,1
783,1
784,0
785,1
786,0
787,1
788,1
789,1
790,1
791,1
792,1
793,1
794,1
795,1
796,0
797,0
798,0
799,0
800,1
801,1
802,1
803,1
804,0
805,1
806,1
807,0
808,0
809,0
810,0
811,1
812,1
813,1
814,1
815,1
816,0
817,1
818,1
819,0
820,0
821,1
822,1
823,1
824,1
825,1
826,1
827,0
828,1
829,1
830,0
831,1
832,1
833,0
834,1
835,1
836,0
837,1
838,1
839,0
840,1
841,1
842,1
843,0
844,1
845,0
846,0
847,1
848,0
849,1
850,1
851,0
852,1
853,1
854,1
855,0
856,0
857,1
858,1
859,0
860,1
861,1
862,1
863,1
864,1
865,0
866,0
867,1
868,1
869,1
870,1
871,1
872,0
873,1
874,1
875,1
876,0
877,1
878,1
879,1
880,1
881,1
882,0
883,1
884,1
885,0
886,1
887,1
888,0
889,1
890,1
891,1
892,1
893,1
894,1
895,1
896,1
897,1
898,1
899,1
900,1
901,1
902,1
903,1
904,0
905,1
906,0
907,0
908,1
909,1
910,1
911,0
912,1
913,1
914,1
915,1
916,1
917,0
918,0
919,0
920,1
921,1
922,1
923,0
924,0
925,1
926,0
927,0
928,1
929,1
930,1
931,1
932,0
933,1
934,0
935,1
936,1
937,0
938,0
939,1
940,1
941,1
942,0
943,1
944,1
945,1
946,1
947,1
948,0
949,1
950,1
951,0
952,1
953,1
954,1
955,0
956,1
957,1
958,1
959,1
960,1
961,0
962,1
963,1
964,0
965,1
966,1
967,1
968,0
969,0
970,0
971,0
972,1
973,1
974,0
975,0
976,1
977,1
978,1
979,0
980,0
981,0
982,1
983,1
984,1
985,1
986,0
987,1
988,1
989,1
990,0
991,1
992,0
993,0
994,1
995,1
996,1
997,1
998,1
999,0
1000,0
1001,1
1002,1
1003,1
1004,1
1005,1
1006,1
1007,1
1008,1
1009,1
1010,0
1011,1
1012,1
1013,1
1014,0
1015,1
1016,0
1017,1
1018,1
1019,0
1020,1
1021,1
1022,1
1023,1
1024,1
1025,1
1026,0
1027,1
1028,0
1029,1
1030,1
1031,1
1032,0
1033,1
1034,1
1035,0
1036,0
1037,1
1038,0
1039,1
1040,1
1041,1
1042,0
1043,1
1044,1
1045,1
1046,1
1047,0
1048,0
1049,0
1050,1
1051,1
1052,0
1053,1
1054,1
1055,1
1056,1
1057,1
1058,1
1059,1
1060,1
