,model,name,avg_fit_time,avg_score_time,r2,mse,mae,maxE
0,hgbr_msl_100,BinAll,4.411994059880574,0.07366681098937988,0.35729360839144003,3075.099100743455,41.27839381944917,260.16170458430474
1,hgbr_msl_100,BinAllNoDay,2.881666819254557,0.06875967979431152,0.3568860094387607,3072.140008341743,40.8952519285454,262.2077745754778
2,hgbr_msl_100,BinAllNoDayNoOut,2.7672081788380942,0.0625002384185791,0.35727502688394397,3102.075066721691,42.569569085990246,258.0316471988289
3,hgbr_msl_100,BinAllNoDayNoOut20Attr,1.6572221120198567,0.06800007820129395,0.02592741048507848,4699.7193877605,54.938946060569435,252.41249443663375
4,hgbr_msl_100,BinAllNoDayNoOut10Attr,1.3043869336446126,0.08333357175191243,-0.08097628262060914,5221.072427330685,59.270616869043614,247.85476272875007
5,hgbr_msl_200,BinAll,4.642171621322632,0.10376111666361491,0.3615272773231663,3054.8423079139684,41.174054364401634,253.32326479409755
6,hgbr_msl_200,BinAllNoDay,3.142122666041056,0.1029977798461914,0.37037754588792743,3011.8347409343187,40.63541557539252,257.50311233860526
7,hgbr_msl_200,BinAllNoDayNoOut,3.022390445073446,0.07696938514709473,0.352920116898689,3122.837544421458,42.87205614057481,255.82835167773223
8,hgbr_msl_200,BinAllNoDayNoOut20Attr,1.7053627967834473,0.0686483383178711,0.039902662866636275,4631.964585278597,54.75854621256931,253.5685004446018
9,hgbr_msl_200,BinAllNoDayNoOut10Attr,1.353872299194336,0.06967369715372722,-0.0538345363211814,5087.7885904706845,58.12620711574046,261.9777849647432
10,"hgbr_msl_200_maxiter_150",BinAll,6.607077519098918,0.14746673901875815,0.358919298787199,3067.0389206058803,41.24218846843033,253.4397068055105
11,"hgbr_msl_200_maxiter_150",BinAllNoDay,4.25348687171936,0.12244439125061035,0.36589661584024696,3032.405525198987,40.69100283868683,258.435449271197
12,"hgbr_msl_200_maxiter_150",BinAllNoDayNoOut,4.455217917760213,0.10771520932515462,0.34496522979313893,3160.714434933711,43.14333442748225,256.78627860991116
13,"hgbr_msl_200_maxiter_150",BinAllNoDayNoOut20Attr,2.52958091100057,0.08984939257303874,0.04060930712175773,4627.975767794817,54.83824417529746,253.5155863650748
14,"hgbr_msl_200_maxiter_150",BinAllNoDayNoOut10Attr,1.888713280359904,0.10112579663594563,-0.07415980863750105,5184.601691484535,58.61943892668663,270.3552435112089
