,model,name,avg_fit_time,avg_score_time,r2,mse,mae,maxE
0,default_tree,BinAll,0.3497604529062907,0.02586062749226888,-0.3572468421800444,6482.516106442577,57.440926370548226,283.6666666666667
1,default_tree,BinAllNoDay,0.24011468887329102,0.02030150095621745,-0.37968724965025086,6582.024234693877,57.734718887555026,293.3333333333333
2,default_tree,BinAllNoDayNoOut,0.1918487548828125,0.016893943150838215,-0.2847232159392589,6218.691685250697,58.04577657313383,288.3333333333333
3,default_tree,BinAllNoDayNoOut20Attr,0.5300908088684082,0.010123570760091146,-1.223151879633741,10707.720950469093,80.85859665997408,290.0
4,default_tree,BinAllNoDayNoOut10Attr,0.26668532689412433,0.009439547856648764,-1.3090764460247735,11109.669543811497,82.62213878920461,291.3333333333333
5,min_samples_leaf=100,BinAll,0.15680821736653647,0.01900005340576172,0.1801891489589099,3923.627636941914,46.05688633558847,269.9397303636902
6,min_samples_leaf=100,BinAllNoDay,0.11066452662150066,0.013666868209838867,0.18688037872047772,3887.652602236578,45.85230267074083,269.9397303636902
7,min_samples_leaf=100,BinAllNoDayNoOut,0.09055654207865398,0.009851614634195963,0.22809715442256295,3734.5235534112194,46.43507258134584,270.4333482230017
8,min_samples_leaf=100,BinAllNoDayNoOut20Attr,0.28771114349365234,0.003373861312866211,-0.15444949394509835,5560.551979998229,59.117945221826965,266.9855670534576
9,min_samples_leaf=100,BinAllNoDayNoOut10Attr,0.14183918635050455,0.007444699605305989,-0.1262101709249571,5446.543354398406,57.41983708407245,264.5691137566137
10,min_samples_leaf=0.05,BinAll,0.0912930170694987,0.02029561996459961,0.20661249889775912,3809.0514556825024,47.260872976979435,264.8674093474655
11,min_samples_leaf=0.05,BinAllNoDay,0.06688213348388672,0.01206660270690918,0.20661249889775912,3809.0514556825024,47.260872976979435,264.8674093474655
12,min_samples_leaf=0.05,BinAllNoDayNoOut,0.05333240826924642,0.011000792185465494,0.14347493787719678,4140.868974779121,50.89181513921222,253.71969151474892
13,min_samples_leaf=0.05,BinAllNoDayNoOut20Attr,0.15899856885274252,0.004668394724527995,-0.013753935257789118,4893.082385184072,56.64248031832293,239.7181896623813
14,min_samples_leaf=0.05,BinAllNoDayNoOut10Attr,0.08066058158874512,0.004001458485921224,-0.008033037339501373,4864.096172625438,56.13089432903892,237.80292148007047
15,min_samples_leaf=200,BinAll,0.13966608047485352,0.01833335558573405,0.2022277944416039,3821.896221201913,46.0790653494222,261.0955254466768
16,min_samples_leaf=200,BinAllNoDay,0.0966652234395345,0.013334433237711588,0.20056773703583627,3829.115396803849,46.16993361710903,261.0955254466768
17,min_samples_leaf=200,BinAllNoDayNoOut,0.07833250363667806,0.011667331059773764,0.22877021733925673,3731.769820337991,46.985258271888036,251.99867771923843
18,min_samples_leaf=200,BinAllNoDayNoOut20Attr,0.2546653747558594,0.0056684017181396484,-0.09405990580450396,5276.156198519725,57.788832716093545,254.38202376753978
19,min_samples_leaf=200,BinAllNoDayNoOut10Attr,0.12666543324788412,0.004334688186645508,-0.05126896917617304,5084.88183993142,56.49856457536462,255.50993178999587
