id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23163,"Quiet 1BR directly in the Centre, Air-conditioned 12",5282,Klara,,Praha 1,50.08295416223054,14.416225883431736,Entire home/apt,3707,1,14,2017-05-27,0.14,70,354
23169,M302-Cozy Serviced Studio in Center,5282,Klara,,Praha 1,50.08983425805445,14.423174916966529,Entire home/apt,2486,1,79,2018-05-18,0.77,70,32
26748,Apartment Great LETNA & Terrace,113902,Daniel+Bea,,Praha 7,50.100107432415285,14.425673715643764,Entire home/apt,2289,3,264,2018-09-05,2.71,3,246
26755,Central Prague Old Town Top Floor,113902,Daniel+Bea,,Praha 1,50.085693195303406,14.43343504416385,Entire home/apt,2028,3,164,2018-08-29,4.03,3,286
27916,Cosy & Quiet Studio - Romantic Summer in Zizkov,120384,Hana,,Praha 3,50.0811287843111,14.456795027434243,Entire home/apt,1090,2,339,2018-09-02,3.42,3,148
30762,R23-Elegant Serviced 86m2 | Center,5282,Klara,,Praha 1,50.08934885730812,14.427109136715215,Entire home/apt,5473,1,9,2018-05-29,0.10,70,52
33809,Charles Bridge- stylish apartment .,146052,Karen,,Praha 1,50.08870775633727,14.407694763573776,Entire home/apt,1657,3,231,2018-08-29,2.37,16,130
33813,Central sunny studio with garden.,146052,Karen,,Praha 2,50.07240365392243,14.44079424515861,Entire home/apt,1199,3,168,2018-08-31,1.79,16,327
34088,Newly reconstructed cozy room,147035,Michaela,,Praha 2,50.07522679966621,14.4456643338724,Private room,458,3,275,2018-09-04,3.05,11,264
40726,"Classy Studio, ART NOUVEAU house",174245,Suzanna,,Praha 3,50.07911711503405,14.453728863623422,Entire home/apt,1090,2,82,2018-08-24,0.85,3,280
40728,"Prime Location, Elegant Studio!",174245,Suzanna,,Praha 3,50.078706147889214,14.452128676911594,Entire home/apt,1090,2,100,2018-07-07,1.03,3,235
40908,"Central, Cozy & Quiet Apartment",174579,Petra,,Praha 2,50.076817238273236,14.43510751588367,Entire home/apt,1047,4,37,2018-09-07,0.42,5,322
42514,"1BR next to Pachtuv Palace,Old Town",185641,Victoria,,Praha 1,50.083646822836066,14.41409192783874,Entire home/apt,2159,3,307,2018-09-10,3.12,1,340
44843,COMFY CENTRAL STUDIO,197594,Zuzie,,Praha 2,50.074316808207854,14.433711638975339,Entire home/apt,501,3,68,2018-09-01,2.06,17,173
49874,Red Flavour by Ruterra,227945,Alex And Kate,,Praha 2,50.07136902535263,14.432736575603121,Entire home/apt,1025,3,138,2018-09-13,1.43,90,104
50967,Ruterra 2 BDR Flat for Friends,227945,Alex And Kate,,Praha 3,50.081220084716605,14.448349355636632,Entire home/apt,1025,2,157,2018-08-30,1.63,90,112
52148,Ruterra 2Room Family Apartment,227945,Alex And Kate,,Praha 2,50.07141743945402,14.430689713435724,Entire home/apt,916,2,95,2018-07-16,0.99,90,145
54793,Cozy 2floor Prague apartment,257722,Michaela,,Praha 9,50.11039609677574,14.49766247994403,Entire home/apt,938,2,188,2018-09-13,2.16,11,324
55361,2 bedroom apartment in city centre ,261432,David,,Praha 7,50.0994966103309,14.429218217106031,Entire home/apt,1526,3,5,2018-06-25,0.06,1,325
55382,High class apartment in center,253631,Petra,,Praha 1,50.083968009044035,14.429298124031464,Entire home/apt,763,2,163,2018-09-18,1.74,2,47
55844,Klimt Studio by Ruterra next to Muzeum,227945,Alex And Kate,,Praha 2,50.078017387998734,14.434125985249654,Entire home/apt,1025,3,226,2018-08-27,2.35,90,113
55856,Luxury Ruterra Apartment by Muzeum,227945,Alex And Kate,,Praha 2,50.07832268081159,14.43450585310916,Entire home/apt,1199,2,161,2018-08-27,1.67,90,130
