VertexCount;EdgeCount;ComponentCount;MaxComponentSize;AverageDistance;AverageDegree
500;1479;1;500;3.21649;5.91600
499;1409;2;499;3.32950;5.64729
498;1360;3;498;3.39653;5.46185
497;1321;4;497;3.45745;5.31590
496;1285;5;496;3.50706;5.18145
495;1249;6;495;3.56243;5.04646
494;1216;7;494;3.61779;4.92308
493;1185;8;493;3.67346;4.80730
492;1158;10;491;3.71315;4.70732
491;1131;11;490;3.77983;4.60692
490;1105;12;489;3.83304;4.51020
489;1080;13;488;3.89185;4.41718
488;1055;15;486;3.92186;4.32377
487;1031;16;485;3.97786;4.23409
486;1010;17;484;4.04583;4.15638
485;989;18;483;4.09291;4.07835
484;968;20;481;4.12109;4.00000
483;948;21;480;4.18339;3.92547
482;929;23;478;4.21910;3.85477
481;910;27;474;4.20163;3.78378
480;892;28;473;4.27323;3.71667
479;874;29;472;4.33173;3.64927
478;856;30;471;4.41293;3.58159
477;838;31;470;4.48716;3.51363
476;821;32;469;4.55947;3.44958
475;805;34;467;4.62931;3.38947
474;789;35;466;4.69059;3.32911
473;774;37;464;4.75258;3.27273
472;761;38;463;4.81121;3.22458
471;748;40;461;4.85403;3.17622
470;735;41;460;4.96910;3.12766
