VertexCount;EdgeCount;ComponentCount;MaxComponentSize;AverageDistance;AverageDegree
500;1479;1;500;3.21649;5.91600
499;1476;2;499;3.21520;5.91583
498;1473;3;498;3.21482;5.91566
497;1469;4;497;3.21498;5.91147
496;1466;5;496;3.21482;5.91129
495;1463;6;495;3.21447;5.91111
494;1460;7;494;3.21347;5.91093
493;1456;8;493;3.21272;5.90669
492;1453;9;492;3.21329;5.90650
491;1450;10;491;3.21223;5.90631
490;1444;11;490;3.21363;5.89388
489;1441;12;489;3.21363;5.89366
488;1438;13;488;3.21250;5.89344
487;1434;14;487;3.21379;5.88912
486;1431;15;486;3.21389;5.88889
485;1423;16;485;3.21791;5.86804
484;1420;17;484;3.21791;5.86777
483;1417;18;483;3.21779;5.86750
482;1397;19;482;3.23009;5.79668
481;1394;20;481;3.23065;5.79626
480;1390;21;480;3.23015;5.79167
479;1386;22;479;3.23276;5.78706
478;1380;23;478;3.23451;5.77406
477;1377;24;477;3.23272;5.77358
476;1372;25;476;3.23489;5.76471
475;1370;26;475;3.23249;5.76842
474;1367;27;474;3.23159;5.76793
473;1364;28;473;3.22984;5.76744
472;1360;29;472;3.23079;5.76271
471;1355;30;471;3.23028;5.75372
470;1352;31;470;3.22925;5.75319
