VertexCount;EdgeCount;ComponentCount;MaxComponentSize;AverageDistance;AverageDegree
500;1483;2;499;3.68324;5.93200
499;1465;3;498;3.70338;5.87174
498;1450;5;496;3.70242;5.82329
497;1436;6;495;3.71665;5.77867
496;1423;7;494;3.72773;5.73790
495;1411;8;493;3.73957;5.70101
494;1400;9;492;3.75168;5.66802
493;1389;10;491;3.76292;5.63489
492;1378;11;490;3.77386;5.60163
491;1367;12;489;3.78534;5.56823
490;1356;13;488;3.79703;5.53469
489;1345;14;487;3.80669;5.50102
488;1334;16;485;3.79892;5.46721
487;1324;17;484;3.80823;5.43737
486;1314;18;483;3.82040;5.40741
485;1304;19;482;3.82694;5.37732
484;1294;20;481;3.83978;5.34711
483;1284;21;480;3.85189;5.31677
482;1274;22;479;3.86193;5.28631
481;1264;23;478;3.87306;5.25572
480;1254;24;477;3.88201;5.22500
479;1244;26;475;3.87152;5.19415
478;1234;27;474;3.88178;5.16318
477;1224;28;473;3.89531;5.13208
476;1214;29;472;3.90756;5.10084
475;1205;30;471;3.91929;5.07368
474;1196;31;470;3.93214;5.04641
473;1187;32;469;3.94154;5.01903
472;1178;33;468;3.95311;4.99153
471;1169;34;467;3.96786;4.96391
470;1160;35;466;3.98031;4.93617
