VertexCount;EdgeCount;ComponentCount;MaxComponentSize;AverageDistance;AverageDegree
500;1483;2;499;3.68324;5.93200
499;1478;3;498;3.68454;5.92385
498;1470;4;497;3.68903;5.90361
497;1466;5;496;3.68983;5.89940
496;1463;6;495;3.68880;5.89919
495;1460;7;494;3.68777;5.89899
494;1453;8;493;3.69173;5.88259
493;1445;9;492;3.69644;5.86207
492;1438;10;491;3.69987;5.84553
491;1430;11;490;3.70574;5.82485
490;1427;12;489;3.70461;5.82449
489;1424;13;488;3.70364;5.82413
488;1420;14;487;3.70432;5.81967
487;1415;15;486;3.70708;5.81109
486;1411;16;485;3.70754;5.80658
485;1403;17;484;3.71296;5.78557
484;1401;18;483;3.71153;5.78926
483;1395;19;482;3.71488;5.77640
482;1390;20;481;3.71876;5.76763
481;1385;21;480;3.72037;5.75884
480;1380;22;479;3.72162;5.75000
479;1377;23;478;3.71985;5.74948
478;1372;24;477;3.72168;5.74059
477;1365;25;476;3.72574;5.72327
476;1358;26;475;3.73075;5.70588
475;1352;27;474;3.73224;5.69263
474;1349;28;473;3.73179;5.69198
473;1344;29;472;3.73318;5.68288
472;1339;30;471;3.73568;5.67373
471;1334;31;470;3.73745;5.66454
470;1326;32;469;3.74601;5.64255
