VertexCount;EdgeCount;ComponentCount;MaxComponentSize;AverageDistance;AverageDegree
500;2980;1;500;2.99103;11.92000
499;2835;6;494;2.95375;11.36273
498;2700;8;492;2.95758;10.84337
497;2570;17;482;2.86939;10.34205
496;2443;21;476;2.90750;9.85081
495;2325;32;458;2.77068;9.39394
494;2216;34;455;2.77417;8.97166
493;2108;35;454;2.78566;8.55172
492;2005;47;435;2.57328;8.15041
491;1904;57;425;2.50096;7.75560
490;1815;69;413;2.41027;7.40816
489;1731;80;402;2.30572;7.07975
488;1651;84;397;2.27262;6.76639
487;1574;90;391;2.22597;6.46407
486;1502;93;388;2.22926;6.18107
485;1432;104;373;2.08893;5.90515
484;1371;111;366;2.03543;5.66529
483;1312;116;357;2.02075;5.43271
482;1254;119;353;1.99909;5.20332
481;1198;121;351;1.99499;4.98129
480;1144;122;350;2.02545;4.76667
479;1092;124;347;2.00739;4.55950
478;1041;126;345;2.00752;4.35565
477;991;132;335;1.92976;4.15514
476;946;135;330;1.90299;3.97479
475;902;136;329;1.92464;3.79789
474;860;141;324;1.89496;3.62869
473;819;148;314;1.80363;3.46300
472;779;161;292;1.57832;3.30085
471;740;166;286;1.54373;3.14225
470;705;174;278;1.52929;3.00000
