VertexCount;EdgeCount;ComponentCount;MaxComponentSize;AverageDistance;AverageDegree
500;2980;1;500;2.99103;11.92000
499;2910;2;499;2.99698;11.66333
498;2905;3;498;2.99737;11.66667
497;2898;4;497;2.99857;11.66197
496;2879;5;496;3.00073;11.60887
495;2874;6;495;3.00128;11.61212
494;2872;7;494;3.00177;11.62753
493;2870;8;493;3.00190;11.64300
492;2867;9;492;2.99767;11.65447
491;2850;10;491;2.99927;11.60896
490;2845;11;490;2.99992;11.61224
489;2843;13;488;2.98424;11.62781
488;2754;16;485;2.96760;11.28689
487;2752;17;484;2.96749;11.30185
486;2750;18;483;2.96782;11.31687
485;2749;19;482;2.96807;11.33608
484;2747;20;481;2.96363;11.35124
483;2744;21;480;2.96450;11.36232
482;2740;22;479;2.97579;11.36929
481;2737;24;475;2.92018;11.38046
480;2736;25;474;2.92035;11.40000
479;2734;26;473;2.91964;11.41545
478;2733;27;472;2.91917;11.43515
477;2729;28;471;2.91944;11.44235
476;2604;35;464;2.86548;10.94118
475;2602;36;463;2.86557;10.95579
474;2596;37;462;2.86497;10.95359
473;2589;38;461;2.86583;10.94715
472;2584;39;460;2.86550;10.94915
471;2584;39;460;2.87770;10.97240
470;2583;40;459;2.87684;10.99149
