VertexCount;EdgeCount;ComponentCount;MaxComponentSize;AverageDegree
500;1479;1;500;5.91600
499;1474;2;499;5.90782
498;1469;3;498;5.89960
497;1466;4;497;5.89940
496;1460;5;496;5.88710
495;1456;6;495;5.88283
494;1451;7;494;5.87449
493;1447;8;493;5.87018
492;1444;9;492;5.86992
491;1440;10;491;5.86558
490;1437;11;490;5.86531
489;1434;12;489;5.86503
488;1431;13;488;5.86475
487;1428;14;487;5.86448
486;1425;15;486;5.86420
485;1421;16;485;5.85979
484;1418;17;484;5.85950
483;1415;18;483;5.85921
482;1412;19;482;5.85892
481;1409;20;481;5.85863
480;1406;21;480;5.85833
479;1390;22;479;5.80376
478;1387;23;478;5.80335
477;1384;24;477;5.80294
476;1379;25;476;5.79412
475;1376;26;475;5.79368
474;1367;27;474;5.76793
473;1356;28;473;5.73362
472;1352;29;472;5.72881
471;1349;30;471;5.72824
470;1346;31;470;5.72766
469;1343;32;469;5.72708
468;1336;33;468;5.70940
467;1332;34;467;5.70450
466;1326;35;466;5.69099
465;1323;36;465;5.69032
464;1320;37;464;5.68966
463;1317;38;463;5.68898
462;1313;39;462;5.68398
461;1309;40;461;5.67896
460;1305;41;460;5.67391
459;1301;42;459;5.66885
458;1298;43;458;5.66812
457;1295;44;457;5.66740
456;1292;45;456;5.66667
455;1289;46;455;5.66593
454;1286;47;454;5.66520
453;1283;48;453;5.66446
452;1280;49;452;5.66372
451;1261;50;451;5.59202
450;1257;51;450;5.58667
449;1254;52;449;5.58575
448;1220;53;448;5.44643
447;1215;54;447;5.43624
446;1212;55;446;5.43498
445;1209;56;445;5.43371
444;1202;57;444;5.41441
443;1198;58;443;5.40858
442;1194;60;441;5.40271
441;1186;61;440;5.37868
440;1182;62;439;5.37273
439;1150;63;438;5.23918
438;1146;64;437;5.23288
437;1143;65;436;5.23112
436;1140;66;435;5.22936
435;1132;67;434;5.20460
434;1128;68;433;5.19816
433;1126;69;432;5.20092
432;1119;70;431;5.18056
431;1116;71;430;5.17865
430;1106;72;429;5.14419
429;1102;73;428;5.13753
428;1099;74;427;5.13551
427;1096;75;426;5.13349
426;1092;76;425;5.12676
425;1089;77;424;5.12471
424;1071;78;423;5.05189
423;1067;79;422;5.04492
422;1062;80;421;5.03318
421;1058;81;420;5.02613
420;1055;82;419;5.02381
