VertexCount;EdgeCount;ComponentCount;MaxComponentSize;AverageDegree
500;1450;1;500;5.80000
499;1437;2;499;5.75952
498;1424;3;498;5.71888
497;1411;4;497;5.67807
496;1399;5;496;5.64113
495;1387;6;495;5.60404
494;1375;7;494;5.56680
493;1363;8;493;5.52941
492;1351;9;492;5.49187
491;1339;10;491;5.45417
490;1328;11;490;5.42041
489;1317;13;488;5.38650
488;1306;14;487;5.35246
487;1295;15;486;5.31827
486;1284;16;485;5.28395
485;1274;17;484;5.25361
484;1264;18;483;5.22314
483;1254;19;482;5.19255
482;1244;20;481;5.16183
481;1234;21;480;5.13098
480;1224;22;479;5.10000
479;1214;23;478;5.06889
478;1204;24;477;5.03766
477;1194;25;476;5.00629
476;1184;26;475;4.97479
475;1174;27;474;4.94316
474;1164;28;473;4.91139
473;1154;30;471;4.87949
472;1145;31;470;4.85170
471;1136;32;469;4.82378
470;1127;33;468;4.79574
469;1118;34;467;4.76759
468;1109;35;466;4.73932
467;1100;36;465;4.71092
466;1091;37;464;4.68240
465;1082;38;463;4.65376
464;1073;39;462;4.62500
463;1064;40;461;4.59611
462;1055;41;460;4.56710
461;1047;42;459;4.54230
460;1039;43;458;4.51739
459;1031;44;457;4.49237
458;1023;45;456;4.46725
457;1015;46;455;4.44201
456;1007;47;454;4.41667
455;999;48;453;4.39121
454;991;50;451;4.36564
453;983;51;450;4.33996
452;975;52;449;4.31416
451;967;53;448;4.28825
450;959;54;447;4.26222
449;951;55;446;4.23608
448;943;56;445;4.20982
447;935;57;444;4.18344
446;927;58;443;4.15695
445;919;61;440;4.13034
444;911;62;439;4.10360
443;903;63;438;4.07675
442;895;64;437;4.04977
441;887;65;436;4.02268
440;880;67;434;4.00000
439;873;68;433;3.97722
438;866;69;432;3.95434
437;859;70;431;3.93135
436;852;71;430;3.90826
435;845;72;429;3.88506
434;838;74;427;3.86175
433;831;76;425;3.83834
432;824;78;423;3.81481
431;817;79;422;3.79118
430;810;80;421;3.76744
429;803;81;420;3.74359
428;796;82;419;3.71963
427;789;84;417;3.69555
426;782;85;416;3.67136
425;775;86;415;3.64706
424;768;88;413;3.62264
423;761;89;412;3.59811
422;754;90;411;3.57346
421;747;91;410;3.54869
420;740;93;408;3.52381
419;734;95;406;3.50358
418;728;97;404;3.48325
417;722;99;402;3.46283
416;716;100;401;3.44231
415;710;101;400;3.42169
414;704;103;398;3.40097
413;698;105;396;3.38015
412;692;106;395;3.35922
411;686;107;394;3.33820
410;680;108;393;3.31707
409;674;109;392;3.29584
408;668;111;390;3.27451
407;662;113;388;3.25307
406;656;114;387;3.23153
405;650;115;386;3.20988
404;644;116;385;3.18812
403;638;117;384;3.16625
402;632;118;383;3.14428
401;626;119;382;3.12219
400;620;120;381;3.10000
399;614;121;380;3.07769
398;608;122;379;3.05528
397;602;124;376;3.03275
396;596;127;373;3.01010
395;590;128;372;2.98734
394;584;129;371;2.96447
393;578;131;368;2.94148
392;572;132;367;2.91837
391;567;133;366;2.90026
390;562;134;365;2.88205
389;557;135;364;2.86375
388;552;136;363;2.84536
387;547;138;360;2.82687
386;542;139;359;2.80829
385;537;140;358;2.78961
384;532;141;357;2.77083
383;527;142;356;2.75196
382;522;143;355;2.73298
381;517;145;353;2.71391
380;512;146;352;2.69474
379;507;147;351;2.67546
378;502;148;350;2.65608
377;497;149;349;2.63660
376;492;150;348;2.61702
375;487;151;347;2.59733
374;482;152;346;2.57754
373;477;154;344;2.55764
372;472;155;343;2.53763
371;467;156;342;2.51752
370;462;158;340;2.49730
369;457;159;339;2.47696
368;452;161;337;2.45652
367;447;163;334;2.43597
366;442;165;330;2.41530
365;437;166;329;2.39452
364;432;167;328;2.37363
363;427;168;327;2.35262
362;422;169;326;2.33149
361;417;170;325;2.31025
360;412;171;324;2.28889
359;407;173;322;2.26741
358;402;175;312;2.24581
357;397;176;311;2.22409
356;392;178;308;2.20225
355;387;180;306;2.18028
354;383;182;304;2.16384
353;379;183;303;2.14731
352;375;186;300;2.13068
351;371;188;298;2.11396
350;367;189;297;2.09714
349;363;190;296;2.08023
348;359;192;294;2.06322
347;355;195;289;2.04611
346;351;196;288;2.02890
345;347;198;281;2.01159
344;343;200;276;1.99419
343;339;201;275;1.97668
342;335;203;273;1.95906
341;331;206;265;1.94135
340;327;208;263;1.92353
339;323;211;259;1.90560
338;319;212;258;1.88757
337;315;213;257;1.86944
336;311;216;249;1.85119
335;307;219;242;1.83284
334;303;220;241;1.81437
