VertexCount;EdgeCount;ComponentCount;MaxComponentSize;AverageDegree
500;1450;1;500;5.80000
499;1441;3;498;5.77555
498;1437;4;497;5.77108
497;1429;5;496;5.75050
496;1417;6;495;5.71371
495;1415;7;494;5.71717
494;1409;8;493;5.70445
493;1399;9;492;5.67546
492;1392;10;491;5.65854
491;1384;11;490;5.63747
490;1376;12;489;5.61633
489;1371;13;488;5.60736
488;1363;14;487;5.58607
487;1356;15;486;5.56879
486;1347;16;485;5.54321
485;1340;17;484;5.52577
484;1339;18;483;5.53306
483;1334;19;482;5.52381
482;1331;20;481;5.52282
481;1324;21;480;5.50520
480;1320;22;479;5.50000
479;1318;23;478;5.50313
478;1311;24;477;5.48536
477;1302;25;476;5.45912
476;1297;26;475;5.44958
475;1292;28;473;5.44000
474;1286;29;472;5.42616
473;1278;30;471;5.40381
472;1269;31;470;5.37712
471;1263;32;469;5.36306
470;1258;33;468;5.35319
469;1251;34;467;5.33475
468;1251;34;467;5.34615
467;1245;35;466;5.33191
466;1240;36;465;5.32189
465;1231;37;464;5.29462
464;1229;38;463;5.29741
463;1222;39;462;5.27862
462;1216;40;461;5.26407
461;1212;41;460;5.25813
460;1205;42;459;5.23913
459;1202;43;458;5.23747
458;1201;44;457;5.24454
457;1198;45;456;5.24289
456;1193;46;455;5.23246
455;1188;47;454;5.22198
454;1185;48;453;5.22026
453;1181;49;452;5.21413
452;1168;50;451;5.16814
451;1164;51;450;5.16186
450;1160;52;449;5.15556
449;1155;53;448;5.14477
448;1148;54;447;5.12500
447;1141;55;446;5.10515
446;1136;56;445;5.09417
445;1130;57;444;5.07865
444;1125;58;443;5.06757
443;1121;59;442;5.06095
442;1119;60;441;5.06335
441;1115;61;440;5.05669
440;1112;62;439;5.05455
439;1105;63;438;5.03417
438;1101;64;437;5.02740
437;1100;65;436;5.03433
436;1095;66;435;5.02294
435;1092;67;434;5.02069
434;1083;68;433;4.99078
433;1078;69;432;4.97921
432;1073;70;431;4.96759
431;1067;71;430;4.95128
430;1063;72;429;4.94419
429;1060;73;428;4.94172
428;1055;74;427;4.92991
427;1053;75;426;4.93208
426;1049;76;425;4.92488
425;1045;77;424;4.91765
424;1040;78;423;4.90566
423;1039;79;422;4.91253
422;1031;80;421;4.88626
421;1027;81;420;4.87886
420;1022;82;419;4.86667
