VertexCount;EdgeCount;ComponentCount;MaxComponentSize;AverageDegree
500;2980;1;500;11.92000
499;2835;6;494;11.36273
498;2700;8;492;10.84337
497;2570;17;482;10.34205
496;2443;21;476;9.85081
495;2325;32;458;9.39394
494;2216;34;455;8.97166
493;2108;35;454;8.55172
492;2005;47;435;8.15041
491;1904;57;425;7.75560
490;1815;69;413;7.40816
489;1731;80;402;7.07975
488;1651;84;397;6.76639
487;1574;90;391;6.46407
486;1502;93;388;6.18107
485;1432;104;373;5.90515
484;1371;111;366;5.66529
483;1312;116;357;5.43271
482;1254;119;353;5.20332
481;1198;121;351;4.98129
480;1144;122;350;4.76667
479;1092;124;347;4.55950
478;1041;126;345;4.35565
477;991;132;335;4.15514
476;946;135;330;3.97479
475;902;136;329;3.79789
474;860;141;324;3.62869
473;819;148;314;3.46300
472;779;161;292;3.30085
471;740;166;286;3.14225
470;705;174;278;3.00000
469;672;177;273;2.86567
468;645;185;263;2.75641
467;620;188;260;2.65525
466;597;193;238;2.56223
465;577;195;153;2.48172
464;557;203;142;2.40086
463;538;211;142;2.32397
462;521;214;136;2.25541
461;505;217;133;2.19089
460;489;219;131;2.12609
459;475;221;129;2.06972
458;462;223;127;2.01747
457;449;227;119;1.96499
456;436;231;119;1.91228
455;423;232;119;1.85934
454;411;237;108;1.81057
453;400;239;106;1.76600
452;389;243;100;1.72124
451;378;244;100;1.67627
450;368;246;98;1.63556
449;358;250;94;1.59465
448;348;253;89;1.55357
447;339;257;89;1.51678
446;330;261;89;1.47982
445;322;265;59;1.44719
444;314;266;58;1.41441
443;307;271;58;1.38600
442;300;272;57;1.35747
441;293;276;57;1.32880
440;286;277;56;1.30000
439;280;280;51;1.27563
438;274;283;51;1.25114
437;268;285;48;1.22654
436;262;288;48;1.20183
435;257;289;48;1.18161
434;252;290;47;1.16129
433;247;292;47;1.14088
432;242;294;47;1.12037
431;237;298;47;1.09977
430;233;301;44;1.08372
429;229;304;31;1.06760
428;225;306;29;1.05140
427;221;308;26;1.03513
426;217;312;11;1.01878
425;213;314;11;1.00235
424;209;315;11;0.98585
423;205;317;11;0.96927
422;201;319;11;0.95261
421;197;321;11;0.93587
420;194;324;9;0.92381
419;191;327;9;0.91169
418;188;330;9;0.89952
417;185;331;9;0.88729
416;182;334;8;0.87500
415;179;337;8;0.86265
414;176;339;8;0.85024
413;173;342;8;0.83777
412;170;344;8;0.82524
411;167;347;8;0.81265
410;164;350;8;0.80000
409;161;353;8;0.78729
408;158;354;8;0.77451
407;155;357;8;0.76167
406;152;358;7;0.74877
405;149;359;7;0.73580
404;146;361;5;0.72277
403;144;363;5;0.71464
402;142;365;5;0.70647
401;140;366;5;0.69825
400;138;368;5;0.69000
399;136;370;5;0.68170
398;134;372;5;0.67337
397;132;374;5;0.66499
396;130;376;4;0.65657
395;128;378;4;0.64810
394;126;380;4;0.63959
393;124;382;4;0.63104
392;122;384;4;0.62245
391;120;386;4;0.61381
390;118;388;4;0.60513
389;116;390;4;0.59640
388;114;391;4;0.58763
387;112;393;4;0.57881
386;110;395;4;0.56995
385;108;397;4;0.56104
