VertexCount;EdgeCount;ComponentCount;MaxComponentSize;AverageDegree
500;2980;1;500;11.92000
499;2979;2;499;11.93988
498;2969;3;498;11.92369
497;2960;4;497;11.91147
496;2957;5;496;11.92339
495;2936;6;495;11.86263
494;2934;7;494;11.87854
493;2932;8;493;11.89452
492;2931;9;492;11.91463
491;2929;10;491;11.93075
490;2914;11;490;11.89388
489;2842;12;489;11.62372
488;2839;13;488;11.63525
487;2838;14;487;11.65503
486;2836;15;486;11.67078
485;2834;16;485;11.68660
484;2832;17;484;11.70248
483;2806;18;483;11.61905
482;2805;19;482;11.63900
481;2802;20;481;11.65073
480;2793;21;480;11.63750
479;2788;22;479;11.64092
478;2755;30;452;11.52720
477;2754;31;452;11.54717
476;2752;32;451;11.56303
475;2750;33;450;11.57895
474;2676;38;445;11.29114
473;2606;40;443;11.01903
472;2566;41;442;10.87288
471;2562;42;441;10.87898
470;2561;43;440;10.89787
469;2560;44;439;10.91684
468;2556;45;438;10.92308
467;2524;46;437;10.80942
466;2517;47;436;10.80258
465;2512;48;435;10.80430
464;2506;49;434;10.80172
463;2497;50;433;10.78618
462;2480;51;432;10.73593
461;2479;52;431;10.75488
460;2476;53;431;10.76522
459;2461;54;430;10.72331
458;2416;55;429;10.55022
457;2411;56;428;10.55142
456;2382;57;427;10.44737
455;2377;58;426;10.44835
454;2348;59;425;10.34361
453;2340;60;424;10.33113
452;2338;61;424;10.34513
451;2337;62;423;10.36364
450;2335;63;422;10.37778
449;2334;64;421;10.39644
448;2330;65;420;10.40179
447;2326;66;419;10.40716
446;2318;67;418;10.39462
445;2307;70;414;10.36854
444;2298;71;413;10.35135
443;2274;72;412;10.26637
442;2270;73;411;10.27149
441;2265;74;410;10.27211
440;2263;75;409;10.28636
439;2260;76;408;10.29613
438;2258;77;407;10.31050
437;2256;78;406;10.32494
436;2254;79;405;10.33945
435;2252;80;404;10.35402
434;2252;80;404;10.37788
433;2180;81;403;10.06928
432;2177;82;402;10.07870
431;2175;83;402;10.09281
430;2174;84;401;10.11163
429;2171;85;400;10.12121
428;2159;86;399;10.08879
427;2157;87;398;10.10304
426;2154;88;397;10.11268
425;2153;89;396;10.13176
424;2146;90;395;10.12264
423;2111;91;394;9.98109
422;2110;92;393;10.00000
421;2109;93;392;10.01900
420;2108;94;392;10.03810
419;2096;95;391;10.00477
418;2091;96;390;10.00478
417;2034;97;389;9.75540
416;2030;98;388;9.75961
415;2028;99;387;9.77349
414;2027;100;386;9.79227
413;2023;101;385;9.79661
412;2022;102;384;9.81553
411;2015;103;383;9.80535
410;2010;104;382;9.80488
409;2009;105;381;9.82396
408;2007;106;380;9.83823
407;1938;109;377;9.52334
406;1936;110;376;9.53695
405;1935;111;375;9.55556
404;1894;112;374;9.37624
403;1892;113;373;9.38958
402;1890;114;372;9.40298
401;1883;115;371;9.39152
400;1796;117;368;8.98000
399;1794;118;367;8.99248
398;1793;119;366;9.01005
397;1791;120;365;9.02267
396;1788;121;364;9.03030
395;1783;122;363;9.02785
394;1781;123;363;9.04061
393;1765;124;362;8.98219
392;1756;125;361;8.95918
391;1753;126;360;8.96675
390;1733;127;359;8.88718
389;1731;128;358;8.89974
388;1692;129;357;8.72165
387;1680;130;356;8.68217
386;1675;131;355;8.67876
385;1646;132;354;8.55065
384;1636;133;353;8.52083
383;1588;135;351;8.29243
382;1587;136;350;8.30890
381;1586;137;349;8.32546
380;1585;138;348;8.34210
379;1584;139;347;8.35884
378;1567;140;346;8.29101
377;1566;141;345;8.30769
376;1555;142;344;8.27128
375;1549;143;343;8.26133
374;1548;144;342;8.27808
373;1546;145;341;8.28954
372;1543;146;341;8.29570
371;1540;147;340;8.30189
370;1538;148;339;8.31351
369;1536;149;338;8.32520
368;1535;150;337;8.34239
367;1532;151;336;8.34877
366;1530;152;335;8.36066
365;1462;155;332;8.01096
364;1461;156;331;8.02747
363;1366;162;321;7.52617
362;1363;163;320;7.53039
361;1362;164;319;7.54571
360;1344;165;318;7.46667
359;1343;166;317;7.48189
358;1342;167;316;7.49721
357;1339;169;314;7.50140
356;1338;170;313;7.51685
355;1336;171;313;7.52676
354;1334;172;312;7.53672
353;1333;173;311;7.55241
352;1233;182;302;7.00568
351;1231;183;301;7.01425
350;1230;184;300;7.02857
349;1227;186;298;7.03152
348;1226;187;297;7.04598
347;1223;188;296;7.04899
346;1204;190;294;6.95954
345;1202;191;293;6.96812
344;1174;192;292;6.82558
343;1173;193;292;6.83965
342;1170;194;291;6.84211
341;1168;195;290;6.85044
340;1165;196;289;6.85294
339;1073;206;278;6.33038
338;1072;207;277;6.34320
337;1072;207;277;6.36202
336;1071;208;276;6.37500
335;1059;209;275;6.32239
334;1057;210;274;6.32934
333;1049;212;272;6.30030
332;1049;212;272;6.31928
331;1048;213;271;6.33233
330;1038;215;268;6.29091
329;1033;216;267;6.27964
328;1031;217;266;6.28659
327;1029;218;265;6.29358
326;1028;219;264;6.30675
325;1028;219;264;6.32615
324;1026;220;264;6.33333
323;1023;221;263;6.33437
322;1006;222;262;6.24845
321;1006;222;262;6.26791
320;1005;223;261;6.28125
319;1003;224;260;6.28840
318;1002;225;259;6.30189
317;1002;225;259;6.32177
316;999;226;258;6.32278
315;997;228;256;6.33016
314;994;229;255;6.33121
313;992;230;254;6.33866
312;987;231;253;6.32692
311;982;232;252;6.31511
310;980;233;251;6.32258
309;977;234;250;6.32362
308;975;235;249;6.33117
307;964;237;247;6.28013
306;963;238;246;6.29412
305;961;239;245;6.30164
304;957;240;244;6.29605
303;957;240;244;6.31683
302;935;241;243;6.19205
301;934;242;242;6.20598
300;933;243;242;6.22000
299;933;243;242;6.24080
298;929;244;241;6.23490
297;929;244;241;6.25589
296;909;245;240;6.14189
295;909;245;240;6.16271
294;909;245;240;6.18367
293;905;246;239;6.17747
292;903;247;238;6.18493
291;891;248;237;6.12371
290;890;249;236;6.13793
289;875;250;235;6.05536
288;863;251;234;5.99306
287;815;254;231;5.67944
286;814;255;230;5.69231
285;813;256;229;5.70526
284;810;257;228;5.70423
283;807;258;227;5.70318
282;806;259;226;5.71631
281;802;260;225;5.70819
280;801;261;224;5.72143
279;799;262;223;5.72760
278;738;264;221;5.30935
277;705;265;220;5.09025
276;703;267;218;5.09420
275;688;268;217;5.00364
274;669;270;215;4.88321
273;668;271;214;4.89377
272;665;272;213;4.88971
271;662;273;212;4.88561
270;657;274;211;4.86667
269;656;275;210;4.87732
268;625;277;207;4.66418
267;624;278;206;4.67416
266;619;279;205;4.65414
265;618;280;204;4.66415
264;608;281;203;4.60606
263;608;281;203;4.62357
262;606;283;199;4.62595
261;603;284;198;4.62069
260;600;285;197;4.61538
259;597;286;196;4.61004
258;596;287;195;4.62015
257;593;288;194;4.61479
256;591;289;193;4.61719
255;537;302;176;4.21176
254;535;303;175;4.21260
253;534;304;174;4.22134
252;533;305;174;4.23016
251;532;306;173;4.23904
250;531;307;172;4.24800
249;530;308;171;4.25703
248;529;309;170;4.26613
247;526;310;169;4.25911
246;522;311;168;4.24390
245;521;312;168;4.25306
244;521;312;168;4.27049
243;521;312;168;4.28807
242;515;313;167;4.25620
241;513;315;165;4.25726
240;505;316;164;4.20833
239;501;317;163;4.19247
238;501;317;163;4.21008
237;501;317;163;4.22785
236;501;317;163;4.24576
235;498;318;162;4.23830
234;497;319;161;4.24786
233;496;320;160;4.25751
232;495;321;160;4.26724
231;492;322;159;4.25974
230;491;323;159;4.26957
229;490;324;158;4.27948
228;488;325;157;4.28070
227;486;326;156;4.28194
226;481;328;154;4.25664
225;469;329;153;4.16889
224;467;330;152;4.16964
223;466;331;151;4.17937
222;466;331;151;4.19820
221;463;332;150;4.19005
220;460;334;150;4.18182
219;459;335;149;4.19178
218;459;335;149;4.21101
217;459;335;149;4.23041
216;458;336;148;4.24074
215;457;337;147;4.25116
214;457;337;147;4.27103
213;457;337;147;4.29108
212;457;337;147;4.31132
211;455;339;145;4.31280
210;454;340;144;4.32381
209;454;340;144;4.34450
208;454;340;144;4.36538
207;452;341;143;4.36715
206;451;342;142;4.37864
205;450;343;141;4.39024
204;397;349;134;3.89216
203;397;349;134;3.91133
202;395;350;133;3.91089
201;394;351;132;3.92040
200;391;353;129;3.91000
