Iteration;Suspected;Infected;Recovered
0;5142;100;0
1;5062;180;0
2;4991;251;0
3;4968;180;94
4;4968;154;120
5;4921;178;143
6;4902;177;163
7;4898;178;166
8;4884;166;192
9;4884;129;229
10;4877;125;240
11;4868;130;244
12;4858;133;251
13;4857;121;264
14;4850;122;270
15;4849;114;279
16;4847;112;283
17;4847;103;292
18;4847;102;293
19;4847;90;305
20;4846;91;305
21;4846;90;306
22;4846;90;306
23;4846;85;311
24;4826;104;312
25;4822;107;313
26;4811;118;313
27;4804;111;327
28;4792;120;330
29;4774;121;347
30;4764;129;349
31;4751;130;361
32;4738;121;383
33;4738;111;393
34;4738;108;396
35;4731;104;407
36;4731;89;422
37;4723;95;424
38;4714;100;428
39;4705;104;433
40;4695;108;439
41;4693;102;447
42;4676;107;459
43;4674;99;469
44;4661;108;473
45;4652;101;489
46;4639;112;491
47;4627;113;502
48;4627;106;509
49;4627;93;522
50;4625;84;533
51;4625;78;539
52;4625;74;543
53;4622;74;546
54;4605;91;546
55;4605;91;546
56;4603;92;547
57;4603;90;549
58;4603;86;553
59;4599;90;553
60;4599;85;558
61;4599;79;564
62;4599;73;570
63;4599;70;573
64;4599;69;574
65;4595;73;574
66;4595;73;574
67;4594;73;575
68;4594;73;575
69;4594;72;576
70;4594;68;580
71;4594;68;580
72;4594;68;580
73;4594;68;580
74;4594;68;580
75;4594;68;580
76;4594;68;580
77;4594;68;580
78;4594;68;580
79;4594;68;580
80;4594;68;580
81;4594;68;580
82;4594;68;580
83;4594;68;580
84;4577;85;580
85;4571;91;580
86;4553;108;581
87;4545;111;586
88;4545;101;596
89;4539;87;616
90;4539;74;629
91;4539;74;629
92;4539;72;631
93;4539;67;636
94;4539;67;636
95;4539;67;636
96;4539;67;636
97;4539;67;636
98;4538;68;636
99;4538;68;636
100;4538;68;636
101;4538;67;637
102;4538;67;637
103;4538;67;637
104;4538;67;637
105;4538;66;638
106;4535;68;639
107;4535;68;639
108;4535;66;641
109;4535;62;645
110;4535;62;645
111;4535;60;647
112;4535;60;647
113;4535;60;647
114;4535;59;648
115;4535;59;648
116;4535;59;648
117;4533;60;649
118;4527;66;649
119;4527;66;649
120;4527;65;650
121;4527;58;657
122;4527;58;657
123;4527;57;658
124;4527;57;658
125;4527;56;659
126;4527;55;660
127;4527;55;660
128;4527;55;660
129;4527;55;660
130;4527;55;660
131;4527;55;660
132;4527;55;660
