Iteration;Suspected;Infected;Recovered
0;4718;524;0
1;3398;1844;0
2;2068;3174;0
3;1295;3947;0
4;992;4250;0
5;896;4346;0
6;840;4402;0
7;815;4427;0
8;806;4436;0
9;796;4446;0
10;793;3925;524
11;790;2608;1844
12;790;1278;3174
13;789;506;3947
14;789;203;4250
15;789;107;4346
16;789;51;4402
17;789;26;4427
18;789;17;4436
19;789;7;4446
20;789;4;4449
21;789;1;4452
22;789;1;4452
23;789;0;4453
24;789;0;4453
25;789;0;4453
26;789;0;4453
27;789;0;4453
28;789;0;4453
29;789;0;4453
30;789;0;4453
31;789;0;4453
32;789;0;4453
33;789;0;4453
34;789;0;4453
35;789;0;4453
36;789;0;4453
37;789;0;4453
38;789;0;4453
39;789;0;4453
40;789;0;4453
41;789;0;4453
42;789;0;4453
43;789;0;4453
44;789;0;4453
45;789;0;4453
46;789;0;4453
47;789;0;4453
48;789;0;4453
49;789;0;4453
50;789;0;4453
51;789;0;4453
52;789;0;4453
53;789;0;4453
54;789;0;4453
55;789;0;4453
56;789;0;4453
57;789;0;4453
58;789;0;4453
59;789;0;4453
60;789;0;4453
61;789;0;4453
62;789;0;4453
63;789;0;4453
64;789;0;4453
65;789;0;4453
66;789;0;4453
67;789;0;4453
68;789;0;4453
69;789;0;4453
70;789;0;4453
71;789;0;4453
72;789;0;4453
73;789;0;4453
74;789;0;4453
75;789;0;4453
76;789;0;4453
77;789;0;4453
78;789;0;4453
79;789;0;4453
80;789;0;4453
81;789;0;4453
82;789;0;4453
83;789;0;4453
84;789;0;4453
85;789;0;4453
86;789;0;4453
87;789;0;4453
88;789;0;4453
89;789;0;4453
90;789;0;4453
91;789;0;4453
92;789;0;4453
93;789;0;4453
94;789;0;4453
95;789;0;4453
96;789;0;4453
97;789;0;4453
98;789;0;4453
99;789;0;4453
100;789;0;4453
101;789;0;4453
102;789;0;4453
103;789;0;4453
104;789;0;4453
105;789;0;4453
106;789;0;4453
107;789;0;4453
108;789;0;4453
109;789;0;4453
110;789;0;4453
111;789;0;4453
112;789;0;4453
113;789;0;4453
114;789;0;4453
115;789;0;4453
116;789;0;4453
117;789;0;4453
118;789;0;4453
119;789;0;4453
120;789;0;4453
121;789;0;4453
122;789;0;4453
123;789;0;4453
124;789;0;4453
125;789;0;4453
126;789;0;4453
127;789;0;4453
128;789;0;4453
129;789;0;4453
130;789;0;4453
131;789;0;4453
132;789;0;4453
133;789;0;4453
134;789;0;4453
135;789;0;4453
136;789;0;4453
137;789;0;4453
138;789;0;4453
139;789;0;4453
140;789;0;4453
141;789;0;4453
142;789;0;4453
143;789;0;4453
144;789;0;4453
145;789;0;4453
146;789;0;4453
147;789;0;4453
148;789;0;4453
149;789;0;4453
150;789;0;4453
151;789;0;4453
152;789;0;4453
153;789;0;4453
154;789;0;4453
155;789;0;4453
156;789;0;4453
157;789;0;4453
158;789;0;4453
159;789;0;4453
160;789;0;4453
161;789;0;4453
162;789;0;4453
163;789;0;4453
164;789;0;4453
165;789;0;4453
166;789;0;4453
167;789;0;4453
168;789;0;4453
169;789;0;4453
170;789;0;4453
171;789;0;4453
172;789;0;4453
173;789;0;4453
174;789;0;4453
175;789;0;4453
176;789;0;4453
177;789;0;4453
178;789;0;4453
179;789;0;4453
180;789;0;4453
181;789;0;4453
182;789;0;4453
183;789;0;4453
184;789;0;4453
185;789;0;4453
186;789;0;4453
187;789;0;4453
188;789;0;4453
189;789;0;4453
190;789;0;4453
191;789;0;4453
192;789;0;4453
193;789;0;4453
194;789;0;4453
195;789;0;4453
196;789;0;4453
197;789;0;4453
198;789;0;4453
199;789;0;4453
200;789;0;4453
201;789;0;4453
202;789;0;4453
203;789;0;4453
204;789;0;4453
205;789;0;4453
206;789;0;4453
207;789;0;4453
208;789;0;4453
209;789;0;4453
210;789;0;4453
211;789;0;4453
212;789;0;4453
213;789;0;4453
214;789;0;4453
215;789;0;4453
216;789;0;4453
217;789;0;4453
218;789;0;4453
219;789;0;4453
220;789;0;4453
221;789;0;4453
222;789;0;4453
223;789;0;4453
224;789;0;4453
225;789;0;4453
226;789;0;4453
227;789;0;4453
228;789;0;4453
229;789;0;4453
230;789;0;4453
231;789;0;4453
232;789;0;4453
233;789;0;4453
234;789;0;4453
235;789;0;4453
236;789;0;4453
237;789;0;4453
238;789;0;4453
239;789;0;4453
240;789;0;4453
241;789;0;4453
242;789;0;4453
243;789;0;4453
244;789;0;4453
245;789;0;4453
246;789;0;4453
247;789;0;4453
248;789;0;4453
249;789;0;4453
250;789;0;4453
251;789;0;4453
252;789;0;4453
253;789;0;4453
254;789;0;4453
255;789;0;4453
256;789;0;4453
257;789;0;4453
258;789;0;4453
259;789;0;4453
260;789;0;4453
261;789;0;4453
262;789;0;4453
263;789;0;4453
264;789;0;4453
265;789;0;4453
266;789;0;4453
267;789;0;4453
268;789;0;4453
269;789;0;4453
270;789;0;4453
271;789;0;4453
272;789;0;4453
273;789;0;4453
274;789;0;4453
275;789;0;4453
276;789;0;4453
277;789;0;4453
278;789;0;4453
279;789;0;4453
280;789;0;4453
281;789;0;4453
282;789;0;4453
283;789;0;4453
284;789;0;4453
285;789;0;4453
286;789;0;4453
287;789;0;4453
288;789;0;4453
289;789;0;4453
290;789;0;4453
291;789;0;4453
292;789;0;4453
293;789;0;4453
294;789;0;4453
295;789;0;4453
296;789;0;4453
297;789;0;4453
298;789;0;4453
299;789;0;4453
300;789;0;4453
301;789;0;4453
302;789;0;4453
303;789;0;4453
304;789;0;4453
305;789;0;4453
306;789;0;4453
307;789;0;4453
308;789;0;4453
309;789;0;4453
310;789;0;4453
311;789;0;4453
312;789;0;4453
313;789;0;4453
314;789;0;4453
315;789;0;4453
316;789;0;4453
317;789;0;4453
318;789;0;4453
319;789;0;4453
320;789;0;4453
321;789;0;4453
322;789;0;4453
323;789;0;4453
324;789;0;4453
325;789;0;4453
326;789;0;4453
327;789;0;4453
328;789;0;4453
329;789;0;4453
330;789;0;4453
331;789;0;4453
332;789;0;4453
333;789;0;4453
334;789;0;4453
335;789;0;4453
336;789;0;4453
337;789;0;4453
338;789;0;4453
339;789;0;4453
340;789;0;4453
341;789;0;4453
342;789;0;4453
343;789;0;4453
344;789;0;4453
345;789;0;4453
346;789;0;4453
347;789;0;4453
348;789;0;4453
349;789;0;4453
350;789;0;4453
351;789;0;4453
352;789;0;4453
353;789;0;4453
354;789;0;4453
355;789;0;4453
356;789;0;4453
357;789;0;4453
358;789;0;4453
359;789;0;4453
360;789;0;4453
361;789;0;4453
362;789;0;4453
363;789;0;4453
364;789;0;4453
365;789;0;4453
366;789;0;4453
367;789;0;4453
368;789;0;4453
369;789;0;4453
370;789;0;4453
371;789;0;4453
372;789;0;4453
373;789;0;4453
374;789;0;4453
375;789;0;4453
376;789;0;4453
377;789;0;4453
378;789;0;4453
379;789;0;4453
380;789;0;4453
381;789;0;4453
382;789;0;4453
383;789;0;4453
384;789;0;4453
385;789;0;4453
386;789;0;4453
387;789;0;4453
388;789;0;4453
389;789;0;4453
390;789;0;4453
391;789;0;4453
392;789;0;4453
393;789;0;4453
394;789;0;4453
395;789;0;4453
396;789;0;4453
397;789;0;4453
398;789;0;4453
399;789;0;4453
400;789;0;4453
401;789;0;4453
402;789;0;4453
403;789;0;4453
404;789;0;4453
405;789;0;4453
406;789;0;4453
407;789;0;4453
408;789;0;4453
409;789;0;4453
410;789;0;4453
411;789;0;4453
412;789;0;4453
413;789;0;4453
414;789;0;4453
415;789;0;4453
416;789;0;4453
417;789;0;4453
418;789;0;4453
419;789;0;4453
420;789;0;4453
421;789;0;4453
422;789;0;4453
423;789;0;4453
424;789;0;4453
425;789;0;4453
426;789;0;4453
427;789;0;4453
428;789;0;4453
429;789;0;4453
430;789;0;4453
431;789;0;4453
432;789;0;4453
433;789;0;4453
434;789;0;4453
435;789;0;4453
436;789;0;4453
437;789;0;4453
438;789;0;4453
439;789;0;4453
440;789;0;4453
441;789;0;4453
442;789;0;4453
443;789;0;4453
444;789;0;4453
445;789;0;4453
446;789;0;4453
447;789;0;4453
448;789;0;4453
449;789;0;4453
450;789;0;4453
451;789;0;4453
452;789;0;4453
453;789;0;4453
454;789;0;4453
455;789;0;4453
456;789;0;4453
457;789;0;4453
458;789;0;4453
459;789;0;4453
460;789;0;4453
461;789;0;4453
462;789;0;4453
463;789;0;4453
464;789;0;4453
465;789;0;4453
466;789;0;4453
467;789;0;4453
468;789;0;4453
469;789;0;4453
470;789;0;4453
471;789;0;4453
472;789;0;4453
473;789;0;4453
474;789;0;4453
475;789;0;4453
476;789;0;4453
477;789;0;4453
478;789;0;4453
479;789;0;4453
480;789;0;4453
481;789;0;4453
482;789;0;4453
